,cate,cate_flag,price_9,price_8,price_7,price_6,price_5,price_4,price_3,price_2,price_1,amount_7,amount_6,amount_5,amount_4,amount_3,amount_2,amount_1,wt_7,wt_6,wt_5,wt_4,wt_3,wt_2,wt_1,date
417,冬瓜,14,7.109256559766762,7.889446554530656,7.840161512704352,6.615211152111522,8.688748019017433,6.637288135593221,6.2255377477857445,6.7197950377561995,8.58501735047969,796.0899999999998,645.38,548.26,430.7600000000001,590.4300000000002,747.5099999999996,841.1600000000002,101.54,97.56,63.1,64.9,94.84,111.24,97.98,2020-07-16
443,冬瓜,14,7.889446554530656,7.840161512704352,6.615211152111522,8.688748019017433,6.637288135593221,6.2255377477857445,6.7197950377561995,8.58501735047969,8.841716214044672,645.38,548.26,430.7600000000001,590.4300000000002,747.5099999999996,841.1600000000002,1100.4399999999996,97.56,63.1,64.9,94.84,111.24,97.98,124.46,2020-07-17
469,冬瓜,14,7.840161512704352,6.615211152111522,8.688748019017433,6.637288135593221,6.2255377477857445,6.7197950377561995,8.58501735047969,8.841716214044672,8.062072892938495,548.26,430.7600000000001,590.4300000000002,747.5099999999996,841.1600000000002,1100.4399999999996,849.4199999999997,63.1,64.9,94.84,111.24,97.98,124.46,105.36,2020-07-18
495,冬瓜,14,6.615211152111522,8.688748019017433,6.637288135593221,6.2255377477857445,6.7197950377561995,8.58501735047969,8.841716214044672,8.062072892938495,6.594365426695843,430.7600000000001,590.4300000000002,747.5099999999996,841.1600000000002,1100.4399999999996,849.4199999999997,482.18,64.9,94.84,111.24,97.98,124.46,105.36,73.12,2020-07-19
521,冬瓜,14,8.688748019017433,6.637288135593221,6.2255377477857445,6.7197950377561995,8.58501735047969,8.841716214044672,8.062072892938495,6.594365426695843,8.218815123548676,590.4300000000002,747.5099999999996,841.1600000000002,1100.4399999999996,849.4199999999997,482.18,552.1400000000001,94.84,111.24,97.98,124.46,105.36,73.12,67.18,2020-07-20
547,冬瓜,14,6.637288135593221,6.2255377477857445,6.7197950377561995,8.58501735047969,8.841716214044672,8.062072892938495,6.594365426695843,8.218815123548676,5.524026696329255,747.5099999999996,841.1600000000002,1100.4399999999996,849.4199999999997,482.18,552.1400000000001,496.61,111.24,97.98,124.46,105.36,73.12,67.18,89.9,2020-07-21
573,冬瓜,14,6.2255377477857445,6.7197950377561995,8.58501735047969,8.841716214044672,8.062072892938495,6.594365426695843,8.218815123548676,5.524026696329255,9.740659777424485,841.1600000000002,1100.4399999999996,849.4199999999997,482.18,552.1400000000001,496.61,490.15,97.98,124.46,105.36,73.12,67.18,89.9,50.32,2020-07-22
599,冬瓜,14,6.7197950377561995,8.58501735047969,8.841716214044672,8.062072892938495,6.594365426695843,8.218815123548676,5.524026696329255,9.740659777424485,6.705411585365856,1100.4399999999996,849.4199999999997,482.18,552.1400000000001,496.61,490.15,527.8500000000001,124.46,105.36,73.12,67.18,89.9,50.32,78.72,2020-07-23
625,冬瓜,14,8.58501735047969,8.841716214044672,8.062072892938495,6.594365426695843,8.218815123548676,5.524026696329255,9.740659777424485,6.705411585365856,6.497957428509997,849.4199999999997,482.18,552.1400000000001,496.61,490.15,527.8500000000001,604.4399999999998,105.36,73.12,67.18,89.9,50.32,78.72,93.02,2020-07-24
651,冬瓜,14,8.841716214044672,8.062072892938495,6.594365426695843,8.218815123548676,5.524026696329255,9.740659777424485,6.705411585365856,6.497957428509997,7.982937902753369,482.18,552.1400000000001,496.61,490.15,527.8500000000001,604.4399999999998,1090.15,73.12,67.18,89.9,50.32,78.72,93.02,136.56,2020-07-25
